Id,Number,Name,Latitude,Longitude,District,Public,Total docks
,W32001,Coolidge Sq.,42.37207611,-71.15683131,Watertown,Yes,12
36,D32005,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,Boston,Yes,33
407,S32037,Craigie at Summer St,42.38830554,-71.11067977,Somerville,Yes,19
47,D32010,Cross St at Hanover St,42.362811,-71.056067,Boston,Yes,19
124,E32001,Curtis Hall - South St at Centre St,42.309054,-71.11543,Boston,Yes,15
187,K32009,Cypress St at Clark Playground,42.32784317,-71.12536222,Brookline,Yes,15
139,M32030,Dana Park,42.36178044,-71.10809952,Cambridge,Yes,19
140,M32031,Danehy Park,42.388966,-71.132788,Cambridge,Yes,17
,M32075,Danehy Park at New Street,42.389456,-71.139019,Cambridge,Yes,19
370,D32045,Dartmouth St at Newbury St,42.35096144,-71.07782811,Boston,Yes,19
100,S32006,Davis Square,42.396969,-71.123024,Somerville,Yes,25
,A32051,Day Sq,42.379295,-71.027733,Boston,Yes,16
361,B32037,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,Boston,Yes,19
414,M32066,Discovery Park - 30 Acorn Park Drive,42.39790817,-71.14797131,Cambridge,Yes,23
63,C32009,Dorchester Ave at Gillette Park,42.34404051,-71.05737627,Boston,Yes,15
56,B32017,Dudley Square - Bolling Building,42.32984299,-71.08386572,Boston,Yes,18
128,C32018,E Cottage St at Columbia Rd,42.320561,-71.06198,Boston,Yes,0
213,A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,Boston,Yes,16
235,S32017,East Somerville Library (Broadway and Illinois),42.38762811,-71.08318716,Somerville,Yes,15
408,S32038,Edgerly Education Center,42.38717463,-71.08714389,Somerville,Yes,15
169,A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Boston,Yes,19
143,M32034,EF - North Point Park,42.369885,-71.069957,Cambridge,Yes,23
126,E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,Boston,Yes,15
409,S32039,Elm St at White St,42.38952436,-71.1169414,Somerville,Yes,19
391,V32005,Encore,42.39329263,-71.0724476,Everett,Yes,15
389,V32003,Everett Square (Broadway at Chelsea St),42.40725945,-71.05546381,Everett,Yes,14
7,A32000,Fan Pier,42.35339051,-71.0445714,Boston,Yes,15
351,A32038,Faneuil St at Arlington St,42.35276621,-71.15988486,Boston,Yes,15
296,C32051,Farragut Rd at E. 6th St,42.3334,-71.02495,Boston,Yes,23
260,C32041,Fields Corner T Stop,42.29963349,-71.06068976,Boston,Yes,15
,S32047,Foley St at Grand Union Blvd,42.3930184,-71.08071685,Somerville,Yes,19
273,E32010,Forest Hills,42.300923,-71.114249,Boston,Yes,40
188,S32015,Foss Park,42.39108438,-71.09039426,Somerville,Yes,15
232,C32037,Four Corners - 157 Washington St,42.30412793,-71.07929528,Boston,Yes,11
162,C32027,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,Boston,Yes,15
170,C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Boston,Yes,14
224,M32051,Fresh Pond Reservation,42.38267828,-71.14347895,Cambridge,Yes,17
,M32072,Galileo Galilei Way at Main Street,42.36300378,-71.08974038,Cambridge,Yes,19
258,C32040,Gallivan Blvd at Adams St,42.28297568,-71.05466698,Boston,Yes,15
445,C32090,Geiger Gibson Community Health Center,42.31886468,-71.04536798,Boston,Yes,19
392,V32006,Glendale Square (Ferry St at Broadway),42.41427294,-71.04479656,Everett,Yes,15
216,A32034,Glendon St at Condor St,42.38240378,-71.03024304,Boston,Yes,19
,A32049,Gove St at Orleans St,42.37057753,-71.0355854,Boston,Yes,19
206,B32032,Government Center - Cambridge St at Court St,42.3598254,-71.05979576,Boston,Yes,23
,M32068,Graham and Parks School ? Linnaean St at Walker St,42.3829443,-71.12449831,Cambridge,Yes,19
133,E32005,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Boston,Yes,23
202,B32028,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,Boston,Yes,15
328,S32019,Grove St at Community Path,42.39638681,-71.12011306,Somerville,Yes,15
,V32012,Hale Park,42.41496265,-71.05279301,Everett,Yes,11
365,D32043,Harrison Ave at Bennet St,42.3494261,-71.0620996,Boston,Yes,19
,C32093,Harrison Ave at E. Dedham St,42.339194,-71.06975,Boston,Yes,19
363,C32057,Harrison Ave at Mullins Way,42.34521562,-71.06384031,Boston,Yes,19
332,D32035,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,Boston,Yes,15
70,M32016,Harvard Kennedy School at Bennett St / Eliot St,42.3722168,-71.12188071,Cambridge,Yes,23
89,M32020,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Cambridge,Yes,19
73,M32017,Harvard Square at Brattle St / Eliot St,42.37430756,-71.11942843,Cambridge,Yes,15
74,M32018,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Cambridge,Yes,19
,K32017,Harvard St and Stedman St,42.34435176,-71.12490356,Brookline,Yes,15
335,M32055,Harvard St at Greene-Rose Heritage Park,42.36599433,-71.09522222,Cambridge,Yes,19
,A32052,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,Boston,Yes,15
108,M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,Cambridge,Yes,17
110,M32021,Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025,Cambridge,Yes,15
87,M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Cambridge,Yes,15
104,M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,Cambridge,Yes,19
