tripduration,starttime,stoptime,start station id,end station id,bikeid,usertype,birth year,gender
2953,2019-01-01 12:45:44.2190,2019-01-01 13:34:58.0280,115,144,3477,Customer,1969,0
463,2019-01-01 12:47:01.2190,2019-01-01 12:54:44.2550,361,9,4151,Subscriber,1992,1
1611,2019-01-01 12:49:25.9990,2019-01-01 13:16:17.5920,342,143,3983,Subscriber,1981,2
1604,2019-01-01 12:49:38.2210,2019-01-01 13:16:22.7300,342,143,3327,Subscriber,1983,1
830,2019-01-01 12:51:38.4020,2019-01-01 13:05:28.7120,41,11,2387,Subscriber,1993,1
477,2019-01-01 12:53:02.1590,2019-01-01 13:00:59.9630,68,179,4530,Subscriber,1996,1
856,2019-01-01 12:53:48.4910,2019-01-01 13:08:04.5210,149,175,4399,Subscriber,1990,2
218,2019-01-01 12:55:01.7770,2019-01-01 12:58:40.3810,12,200,3873,Subscriber,1992,1
2993,2019-01-01 12:56:26.5290,2019-01-01 13:46:20.2050,33,361,3622,Customer,1969,0
2211,2019-01-01 12:57:35.9130,2019-01-01 13:34:27.7680,131,206,3056,Customer,1992,2
2882,2019-01-01 12:57:59.2540,2019-01-01 13:46:01.7570,33,361,2938,Customer,1969,0
657,2019-01-01 12:59:42.9600,2019-01-01 13:10:40.5270,8,376,3594,Customer,1993,2
289,2019-01-01 13:01:37.6220,2019-01-01 13:06:26.7260,68,178,4030,Subscriber,1989,2
2068,2019-01-01 13:02:00.7100,2019-01-01 13:36:29.0480,206,376,2862,Subscriber,1993,2
513,2019-01-01 13:02:53.6960,2019-01-01 13:11:26.8140,71,234,3942,Subscriber,1992,1
368,2019-01-01 13:03:21.8990,2019-01-01 13:09:30.0470,184,105,3083,Subscriber,1994,2
2760,2019-01-01 13:03:42.2850,2019-01-01 13:49:42.5130,67,74,4502,Customer,1969,0
2836,2019-01-01 13:03:43.7200,2019-01-01 13:50:59.8250,71,161,3283,Subscriber,1984,1
337,2019-01-01 13:03:46.7990,2019-01-01 13:09:24.6830,184,105,3114,Subscriber,1995,1
2832,2019-01-01 13:04:05.7750,2019-01-01 13:51:18.2920,71,161,2988,Customer,1987,2
2744,2019-01-01 13:04:08.3130,2019-01-01 13:49:52.4400,67,74,3799,Customer,1969,0
2714,2019-01-01 13:04:29.6360,2019-01-01 13:49:43.9940,67,74,3657,Customer,1969,0
199,2019-01-01 13:05:48.0080,2019-01-01 13:09:07.1670,89,176,4386,Subscriber,1979,1
